case,Etot (kmol/y),Fug-stora (kmol/y),Fug-storb (kmol/y),Pre-stora (kmol/y),Pre-storb (kmol/y),Ion-stora (kmol/y),Ion-storb (kmol/y),Fug-Abs (kmol/y),Fug-Sea (kmol/y),Pre-Abs (kmol/y),Pre-Sea (kmol/y),Ion-Abs (kmol/y),Ion-Sea (kmol/y),Decay (kmol/y),Volat (kmol/y),Fug-Sed (kmol/y),Pre-Sed (kmol/y),Ion-Sed (kmol/y),
"80-05-7",  59352.    ,  0.0000    , -1034.5    ,  0.0000    , -6.0582    ,  0.0000    , -10.636    , -4696.8    , -27225.    ,-0.35433E-02, -1.0770    , -28.741    , -316.50    , -25980.    , -2.7300    , -49.348    ,-0.24440E-03,  0.0000    ,
"84-65-1",  241.46    ,  0.0000    , -52.897    ,  0.0000    ,-0.23385E-01,  0.0000    ,  0.0000    , -22.537    , -154.53    ,-0.17728E-04,-0.45433E-02,  0.0000    ,  0.0000    , -7.2181    , -3.8701    ,-0.38009    ,-0.35830E-05,  0.0000    ,
"868-77-9",  884.06    ,  0.0000    , -1.4572    ,  0.0000    ,  0.0000    ,  0.0000    ,-0.25217E-06, -21.680    , -138.29    ,  0.0000    ,  0.0000    ,-0.36766E-05,-0.43119E-04, -712.82    , -9.7708    ,-0.38363E-03,  0.0000    ,  0.0000    ,
"88-85-7",  82.054    ,  0.0000    ,-0.62119E-02,  0.0000    ,-0.70531E-02,  0.0000    , -11.137    , -4.5785    , -2.5568    ,-0.47748E-05,-0.13826E-02, -4.4699    , -59.236    ,-0.17684E-01,-0.37148E-01,-0.13140E-02,-0.62425E-06,  0.0000    ,
"9016-45-9", 0.98922E-01,  0.0000    ,-0.45964E-03,  0.0000    ,-0.98269E-05,  0.0000    ,-0.53398E-10,-0.52603E-02,-0.27475E-01,-0.14700E-07,-0.46679E-05,-0.27003E-09,-0.31149E-08,-0.65539E-01,  0.0000    ,-0.18421E-03,-0.22218E-08,  0.0000    ,
"92-52-4",  267.21    ,  0.0000    , -5.2818    ,  0.0000    ,-0.36429E-01,  0.0000    ,  0.0000    , -2.1902    , -12.780    ,-0.15504E-05,  0.0000    ,  0.0000    ,  0.0000    , -213.10    , -33.819    ,-0.12678E-01,-0.10356E-04,  0.0000    ,
"95-51-2",  1264.0    ,  0.0000    , -145.24    ,  0.0000    ,-0.80362E-01,  0.0000    ,-0.36075E-02, -143.93    , -940.43    ,-0.44877E-04,-0.45533E-02,-0.15129E-02,-0.21423E-01,  0.0000    , -34.223    ,-0.65336E-01,-0.36954E-04,  0.0000    ,
"96-18-4",  923.05    ,  0.0000    , -157.90    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    , -10.447    , -84.240    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    , -97.061    , -573.43    ,-0.15635E-01,  0.0000    ,  0.0000    ,
"98-00-0",  2902.6    ,  0.0000    , -7.6046    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    , -84.807    , -654.80    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    , -2098.8    , -56.215    ,-0.18014E-02,  0.0000    ,  0.0000    ,
"98-73-7",  213.35    ,  0.0000    ,-0.15439E-01,  0.0000    ,-0.15656E-01,  0.0000    , -25.665    , -12.764    , -7.1088    ,-0.10934E-04,-0.30469E-02, -11.925    , -155.70    ,-0.80634E-01,-0.66247E-01,-0.66200E-02,-0.17447E-05,  0.0000    ,
