,2012/12/31_Cbulk,2013/12/31_Cbulk,
   9517745,    0.84209E-08,    0.17596E-07,
   9504188,    0.26475E-09,    0.38123E-09,
   9592841,    0.16510E-08,    0.40505E-08,
   9504380,    0.21402E-09,    0.34321E-09,
   9517234,    0.10080E-08,    0.12497E-08,
   9502995,    0.40298E-09,    0.52701E-09,
   9517474,    0.45065E-09,    0.10041E-08,
   9504510,    0.24778E-09,    0.79093E-09,
   9517966,    0.18567E-08,    0.23569E-08,
   9517373,    0.79381E-09,    0.12754E-08,
   9518360,    0.10461E-08,    0.26349E-08,
   9517469,    0.62711E-09,    0.15475E-08,
   9517343,    0.71185E-09,    0.11688E-08,
   9517667,    0.15706E-08,    0.44987E-08,
   9517148,    0.12154E-08,    0.16194E-08,
   9518094,    0.52148E-08,    0.50403E-08,
