CAS,50centile,95centile,99centile,
132182-96-8,7.349100000000001e-09,8.679685999999995e-08,2.0699352799999975e-07,
2965-52-8,1.8136e-16,6.652767999999994e-15,3.1926611199999975e-14,
85857-16-5,2.6675000000000004e-10,3.121885999999998e-09,7.4483170399999895e-09,
98-16-8,2.59995e-07,4.253399999999999e-06,1.4787290799999999e-05,
306-94-5,0.0,0.0,0.0,
355-43-1,8.6375e-11,1.5242039999999986e-09,3.3814887999999985e-09,
16090-14-5,4.0677e-12,1.2122680000000002e-10,4.5779970799999956e-10,
45167-47-3,1.766e-08,2.514017999999998e-07,6.370119039999999e-07,
131341-86-1,0.0,6.182194e-10,3.607224799999992e-09,
2043-47-2,6.352749999999999e-11,1.1093239999999997e-09,3.2825396799999987e-09,
98-56-6,1.2579000000000002e-07,1.4162439999999996e-06,5.266533959999991e-06,
68555-72-6,9.13875e-09,2.454181999999999e-07,1.036984383999999e-06,
57678-01-0,1.1634e-08,2.928641999999998e-07,1.250559999999999e-06,
65104-65-6,2.11715e-16,7.932277999999991e-15,3.807998519999997e-14,
133881-46-6,2.8030499999999997e-09,4.474103999999999e-08,9.988795839999996e-08,
1125812-58-9,1.1419999999999999e-08,1.2912579999999995e-07,3.0879729999999985e-07,
68412-69-1,1.0325999999999999e-10,2.253687999999999e-09,7.422337679999994e-09,
1082065-80-2,2.7405e-08,4.918419999999998e-07,1.4276217199999993e-06,
68318-34-3,1.9853e-09,3.592649999999996e-08,8.180706439999993e-08,
373-88-6,4.0691e-08,9.875979999999992e-07,4.071385519999996e-06,
196859-54-8,2.14925e-10,6.477658e-09,2.0955341999999998e-08,
68259-07-4,9.627800000000001e-09,2.6354999999999995e-07,1.159310015999999e-06,
559-29-5,9.230949999999999e-09,1.0798739999999995e-07,2.560991719999996e-07,
68156-06-9,2.91105e-11,9.563657999999992e-10,5.137617239999995e-09,
62880-93-7,0.0,0.0,0.0,
57677-99-3,8.0209e-21,2.9546499999999974e-19,1.418031479999999e-18,
39492-89-2,1.55755e-08,4.100971999999998e-07,1.7662811599999985e-06,
80793-17-5,1.9989e-11,2.9944279999999996e-10,1.2622247599999972e-09,
148992-43-2,3.70415e-08,9.302629999999996e-07,2.7452507999999962e-06,
342-25-6,2.129e-08,5.878831999999996e-07,2.0691260799999987e-06,
328-90-5,2.3684e-08,6.181789999999997e-07,2.1950611599999984e-06,
675868-33-4,1.70075e-09,4.7785699999999966e-08,1.876909359999994e-07,
29091-09-6,1.0766e-08,2.926939999999998e-07,1.1385949959999988e-06,
67330-25-0,1.3397500000000002e-10,4.648535999999998e-09,2.504378359999999e-08,
102851-06-9,1.4812000000000004e-17,2.299121999999998e-10,6.443880359999992e-09,
638-79-9,5.361049999999999e-09,7.084731999999998e-08,1.714871759999999e-07,
754-91-6,1.8923e-09,3.5268699999999954e-08,8.282630759999991e-08,
958445-54-0,1.1695e-08,2.248141999999998e-07,6.474250559999993e-07,
345-92-6,2.39065e-08,7.013913999999995e-07,2.4811979599999977e-06,
68694-11-1,1.5761499999999998e-09,1.7646939999999977e-07,2.400040279999997e-06,
181214-75-5,9.0696e-09,1.0586939999999996e-07,2.5040334799999956e-07,
2991-50-6,4.3855e-10,1.4419059999999988e-08,7.97898499999999e-08,
895525-72-1,3.8489499999999995e-08,7.470638e-07,2.680473279999999e-06,
38436-16-7,4.47995e-09,6.39518e-08,1.578546599999999e-07,
67584-54-7,1.93935e-09,6.220740000000002e-08,3.003670159999999e-07,
864551-38-2,1.262e-10,3.4008279999999983e-09,1.2221285599999984e-08,
39492-88-1,2.35775e-08,5.462829999999995e-07,2.267329999999998e-06,
91913-68-7,6.23755e-12,1.9959959999999978e-10,1.2426993679999978e-09,
317817-24-6,6.512749999999999e-11,2.201663999999999e-09,1.3140609999999982e-08,
66332-96-5,1.2971e-11,4.1970959999999966e-08,5.337603599999987e-07,
38850-58-7,9.271149999999999e-09,1.7447939999999985e-07,7.242450399999995e-07,
348-57-2,1.6096e-08,1.846139999999999e-07,4.431195439999992e-07,
54949-74-5,2.3218e-08,2.8903019999999987e-07,6.847602999999998e-07,
101947-16-4,8.875700000000001e-11,2.30341e-09,8.561379799999997e-09,
45298-90-6,1.0666e-08,2.5083159999999996e-07,8.364267799999997e-07,
69116-73-0,6.5065500000000004e-09,1.6995919999999998e-07,5.394469359999992e-07,
1103234-56-5,1.89375e-07,5.5515239999999966e-06,2.256667599999997e-05,
507448-65-9,5.36435e-10,1.6508799999999998e-08,6.49504951999999e-08,
422-05-9,2.1379999999999997e-08,2.4085599999999994e-07,6.042534519999997e-07,
431-47-0,2.716e-08,3.177683999999999e-07,8.060304839999994e-07,
376-14-7,1.4909e-11,3.309053999999999e-10,1.4721819999999992e-09,
67584-56-9,5.46905e-09,1.3873159999999998e-07,4.3472435999999916e-07,
29457-72-5,1.2101e-08,2.650781999999998e-07,1.117522743999999e-06,
4149-60-4,1.5497499999999997e-08,2.856805999999998e-07,1.1861181599999991e-06,
