MolMass,bp,mp,pv,ks,kac,kba,kn,kds,kde,kdw,kow0,kaw0,dhaw,
307-35-7,502.11,154.15,51.8535,551.862,0.000102329,-999,-999,-999,3.5e-06,3.5e-06,3.5e-06,6.92,1.53751,55862.0,
68156-06-9,464.12,161.415,-0.1149998,106.5243,1.75e-06,-999,-999,-999,7.1400001e-09,3.2199999e-08,6.4300004e-08,7.705,1.144204,-999,
86386-73-4,306.28,528.8,205.435,1.63e-14,11.75264,-999,-999,0.0,0.0,0.0,0.0,0.6,-11.56048,201470.0,
145022-44-2,261.24,-999,-999,-999,3830.0,-999,-999,-999,-999,-999,-999,-999,-999,-999,
464-36-8,554.074,145.735,-35.955,1043.245,9.4900003e-08,-999,-999,-999,7.1400001e-09,3.2199999e-08,6.4300004e-08,8.110001,4.008295,-999,
141573-95-7,204.18,288.45,17.355,0.018177999,16.2,-999,-999,-999,3.5e-06,3.5e-06,3.5e-06,1.61,-3.919809,80959.0,
335-93-3,520.93,160.125,40.0,546.9319,0.00013040099,-999,-999,-999,7.1400001e-09,3.2199999e-08,6.4300004e-08,4.17,-4.688932,-999,
329-01-1,187.12,164.5,-21.49,268.5995,0.8317637,1.6595492e-05,-999,-999,3.5e-06,3.5e-06,3.5e-06,3.56,-1.575608,72612.0,
647-42-7,364.1,174.1,-20.0285,50.654,0.0060000001,-999,-999,-999,3.3999999e-08,3.3999999e-08,3.3999999e-08,4.31,-1.47,68363.0,
375-81-5,352.09,119.475,-23.995,1599.864,0.00359766,-999,-999,-999,7.1400001e-09,3.2199999e-08,6.4300004e-08,4.135,2.179799,-999,
68155-54-4,716.108,173.605,-58.265,1677.857,9.9999997e-10,-999,-999,-999,7.1400001e-09,3.2199999e-08,6.4300004e-08,7.22,2.328455,-999,
101513-70-6,228.98,257.94,54.076,1.4739,0.2344229,-999,-999,-999,1.13e-07,1.13e-07,1.13e-07,3.5,-2.117119,49774.0,
199119-58-9,459.34,-999,-999,-999,0.218,-999,-999,-999,-999,-999,-999,-999,-999,-999,
25268-77-3,611.27,292.005,72.485,0.8020021,0.012794433,-999,-999,-999,7.1400001e-09,3.2199999e-08,6.4300004e-08,6.87,-0.218,-999,
38006-74-5,634.78,344.16,178.335,2.61e-07,0.000269857,-999,-999,-999,7.1400001e-09,3.2199999e-08,6.4300004e-08,4.015,-6.112417,-999,
120885-29-2,363.055,180.91,15.26,83.35,0.0050810454,-999,-999,-999,7.1400001e-09,3.2199999e-08,6.4300004e-08,4.15,-0.15,-999,
76-19-7,188.02,-36.84999,-136.39,781000.0,0.1412538,-999,-999,-999,0.0,0.0,0.0,2.7745,2.8195,21518.0,
743456-60-2,370.211,336.495,112.895,0.0033999998,0.680693,-999,-999,-999,7.1400001e-09,3.2199999e-08,6.4300004e-08,1.77,-4.436475,-999,
68555-75-9,457.21,260.165,75.81,0.020131622,0.001243695,-999,-999,-999,7.1400001e-09,3.2199999e-08,6.4300004e-08,4.26,-3.939826,-999,
68259-11-0,281.078,227.075,86.87,322.6502,64.35936,-999,-999,-999,7.1400001e-09,3.2199999e-08,6.4300004e-08,1.63,-7.198214,-999,
15899-29-3,364.062,177.91,20.43,107.1286,0.0069466191,-999,-999,-999,7.1400001e-09,3.2199999e-08,6.4300004e-08,4.6,1.434277,-999,
6014-75-1,732.228,269.84,47.865,0.2559782,9.9999997e-10,-999,-999,-999,7.1400001e-09,3.2199999e-08,6.4300004e-08,9.93,2.312934,-999,
173350-69-1,486.076,131.235,-45.93,2059.825,3.6500001e-06,-999,-999,-999,7.1400001e-09,3.2199999e-08,6.4300004e-08,6.715,3.507514,-999,
2395-00-8,452.16,292.92,107.73,16.93192,0.4443117,-999,-999,-999,7.1400001e-09,3.2199999e-08,6.4300004e-08,2.395,-4.688932,-999,
6130-43-4,381.093,176.0,164.0,17.06522,867.0,-999,-999,-999,-999,-999,-999,-999,-999,-999,
68140-19-2,180.14,70.46,-83.3,17198.54,0.356767,-999,-999,-999,2.14e-08,9.6500003e-08,1.9300001e-07,3.14,0.893,-999,
93957-50-7,307.37,439.27,167.445,3.9900001e-06,0.0014338091,-999,-999,-999,1.13e-07,1.13e-07,1.13e-07,5.03,-7.441221,94628.0,
382-26-3,232.07,22.54001,-85.5045,110560.4,0.186,-999,-999,-999,1.13e-06,1.13e-06,1.13e-06,3.0691,0.8144894,36507.0,
125051-32-3,-999,-999,161.0,0.0,-999,-999,-999,-999,-999,-999,-999,9.5,-999,-999,
26650-09-9,405.18,221.25,12.3864,14.663,0.00073532801,-999,-999,-999,3.4999999e-07,3.4999999e-07,3.4999999e-07,5.36,-1.0878,55957.0,
1187-93-5,166.02,2.980011,-143.775,214613.0,2.529876,-999,-999,-999,3.4999999e-07,3.4999999e-07,3.4999999e-07,2.2,0.40955,33961.0,
53826-13-4,578.12,272.57,71.38,0.403,2.7350001e-07,-999,-999,-999,7.1400001e-09,3.2199999e-08,6.4300004e-08,7.31,2.8575,-999,
865-86-1,564.137,213.0,37.4,3.226393,1.41e-06,-999,-999,-999,7.1400001e-09,3.2199999e-08,6.4300004e-08,7.09,-0.3648432,-999,
17741-60-5,618.185,231.0,43.91,4.519616,1.21e-08,-999,-999,-999,7.1400001e-09,3.2199999e-08,6.4300004e-08,8.16,1.191951,-999,
678-39-7,464.122,183.0,23.5,13.0,7.2601797e-05,-999,-999,-999,7.1400001e-09,3.2199999e-08,6.4300004e-08,5.75,2.229,-999,
88374-05-4,232.23,292.0,68.4045,0.1231692,0.1517461,-999,-999,-999,1.13e-06,1.13e-06,1.13e-06,3.23,-4.167941,54483.0,
57678-07-6,744.132,270.65,110.3,0.061894283,1.8e-09,-999,-999,-999,7.1400001e-09,3.2199999e-08,6.4300004e-08,6.655,-3.394202,-999,
54910-89-3,309.33,347.23,29.7735,0.0033591599,0.1552032,-999,-999,0.0,2.2e-07,2.2e-07,2.2e-07,4.31,-5.2683,93728.0,
756-13-8,316.046,62.4,-68.8,55779.14,0.1295697,-999,-999,-999,7.1400001e-09,3.2199999e-08,6.4300004e-08,3.775,2.290292,-999,
307-55-1,614.101,248.0,89.92,1.046435,2.11e-07,-999,-999,-999,7.1400001e-09,3.2199999e-08,6.4300004e-08,7.49,3.45,-999,
307-24-4,314.054,157.0,23.07,193.3169,0.090127289,-999,-999,-999,7.1400001e-09,3.2199999e-08,6.4300004e-08,3.48,-2.732805,-999,
111493-74-4,222.167,241.795,68.285,3.886336,7.617693,-999,-999,-999,3.4300001e-08,1.5400001e-07,3.09e-07,1.945,-1.93825,-999,
661-95-0,309.84,97.92999,-5.1785,6265.1,0.1584893,-999,-999,-999,1.13e-07,1.13e-07,1.13e-07,3.93,1.540371,40087.0,
16486-94-5,564.093,240.915,59.065,2.544835,1.26e-06,-999,-999,-999,7.1400001e-09,3.2199999e-08,6.4300004e-08,7.32,-0.8511883,-999,
98-17-9,162.11,177.85,29.9,81.1797,36.83302,-999,-999,0.0,3.4900001e-09,3.4900001e-09,3.4900001e-09,2.71,-3.732369,51363.0,
119895-68-0,186.11,241.51,49.532,2.9867,4.476761,-999,-999,-999,1.13e-06,1.13e-06,1.13e-06,2.12,-5.597589,12826.0,
45298-90-6,499.12,224.14,61.45,1.4215,0.00020816601,-999,-999,-999,7.1400001e-09,3.2199999e-08,6.4300004e-08,3.63,-3.037056,-999,
354-32-5,132.47,-19.62,-76.81,501707.9,758.0,-999,-999,-999,1.13e-07,1.13e-07,1.13e-07,1.58,-2.2758,5111.4,
914637-49-3,342.108,193.575,37.76,18.8,0.0078191683,-999,-999,-999,7.1400001e-09,3.2199999e-08,6.4300004e-08,4.595,-2.616838,-999,
40143-76-8,400.032,231.13,85.475,0.073865913,0.018621011,-999,-999,-999,7.1400001e-09,3.2199999e-08,6.4300004e-08,2.79,-5.287283,-999,
507448-65-9,197.16,201.56,-7.951,48.218,127.9063,-999,-999,-999,3.5e-06,3.5e-06,3.5e-06,2.07,-4.64688,71789.0,
423-82-5,625.3,309.935,89.77499,0.0118,0.00071004574,-999,-999,-999,7.1400001e-09,3.2199999e-08,6.4300004e-08,7.455,-1.865224,-999,
308-48-5,454.058,102.0,-87.3,5019.573,7.05e-06,-999,-999,-999,7.1400001e-09,3.2199999e-08,6.4300004e-08,6.89,3.332297,-999,
121451-05-6,-999,-999,-22.7,0.063000001,-999,-999,-999,-999,-999,-999,1.78e-06,3.4,-999,-999,
68555-77-1,384.26,267.005,86.945,0.3293054,0.3207464,-999,-999,-999,7.1400001e-09,3.2199999e-08,6.4300004e-08,3.525,-4.34395,-999,
67939-97-3,1121.48,385.0,126.635,2.75e-06,9.9999997e-10,-999,-999,-999,7.1400001e-09,3.2199999e-08,6.4300004e-08,7.62,-7.803417,-999,
163702-08-7,250.064,20.03,-95.9,120656.4,0.1389164,-999,-999,-999,7.1400001e-09,3.2199999e-08,6.4300004e-08,3.23,1.605,-999,
196859-54-8,563.086,255.83,61.23,1.21,9.1049998e-07,-999,-999,-999,7.1400001e-09,3.2199999e-08,6.4300004e-08,6.82,2.732,-999,
73609-36-6,461.12,104.0,-24.56,2300.997,1.6499999e-06,-999,-999,-999,7.1400001e-09,3.2199999e-08,6.4300004e-08,7.41,3.33157,-999,
376-06-7,714.117,280.35,89.465,0.3842197,2.83e-09,-999,-999,-999,7.1400001e-09,3.2199999e-08,6.4300004e-08,9.12,0.2346299,-999,
96383-55-0,452.59,235.0,7.7563,7.7353,0.00020561001,-999,-999,-999,3.5e-06,3.5e-06,3.5e-06,6.05,1.42445,73704.0,
76-13-1,187.37,47.75,-46.9,48331.35,0.712,-999,-999,-999,2.14e-08,9.6500003e-08,1.9300001e-07,3.125,2.628374,-999,
52299-25-9,502.03,211.08,10.43,19.92835,0.00030300001,-999,-999,-999,1.13e-07,1.13e-07,1.13e-07,5.63,-2.767063,-999,
354-33-6,120.02,-54.86,-103.0,949096.0,7.23,-999,-999,-999,0.0,0.0,0.0,1.44,1.4344,18818.0,
50650-59-4,163.099,257.355,96.35,2.313999,101.2269,-999,-999,-999,3.4300001e-08,1.5400001e-07,3.09e-07,0.663,-3.615981,-999,
1691-99-2,571.25,284.845,67.2,1.334845,0.00013364,-999,-999,-999,7.1400001e-09,3.2199999e-08,6.4300004e-08,6.0,-1.631,-999,
