,2012/12/31_Cdis,2013/12/31_Cdis,
   9517234,    0.17776E-12,    0.29617E-12,
   9502995,    0.39126E-10,    0.45801E-10,
   9517474,    0.42540E-12,    0.70787E-12,
   9504510,    0.23931E-11,    0.41867E-11,
   9517966,    0.26807E-10,    0.58381E-10,
   9517373,    0.19168E-12,    0.27158E-12,
   9518360,    0.17805E-12,    0.27551E-13,
   9517469,    0.12364E-12,    0.84924E-13,
   9517343,    0.68195E-13,    0.65058E-13,
   9517667,    0.23594E-12,    0.83333E-12,
   9517148,    0.12675E-11,    0.24234E-11,
   9518094,    0.38960E-10,    0.50899E-10,
